state,state_code,organization_name,office_type,address,city,zip_code,phone,email,website,services_offered,languages_spoken,appointment_required,walk_in_hours,notes
Idaho,ID,AMVETS Idaho Department,State HQ,PO Box 1645,Meridian,83680,(208) 888-3214,amvetsid@gmail.com,https://amvetsid.org,"Benefits, Employment, Transition",English,No,Mon-Fri 9:00-5:00,Veteran support services
Idaho,ID,VFW Post 56 Boise,Local Post,6935 West Emerald Street,Boise,83704,(208) 375-1956,vfwpost56@gmail.com,https://vfwpost56.org,"Local support, VA referrals",English,No,Mon-Sat 11:00-9:00,Treasure Valley
Idaho,ID,American Legion Post 1 Pocatello,Local Post,444 Hospital Way,Pocatello,83201,(208) 232-5561,alpost1pocatello@gmail.com,https://pocatellopost1.org,"Community service, Benefits",English,No,Mon-Fri 10:00-6:00,Southeast Idaho
Idaho,ID,DAV Coeur d'Alene Chapter,Regional Office,777 West Ironwood Drive,Coeur d'Alene,83814,(208) 667-2645,davcda@gmail.com,https://davcda.org,"VA claims, Medical transport",English,Yes,Tue-Thu 9:00-3:00,North Idaho
Idaho,ID,VFW Post 3917 Idaho Falls,Local Post,345 West 7th Street,Idaho Falls,83402,(208) 522-3917,vfwpost3917if@yahoo.com,https://vfwpost3917if.org,"Community service, Benefits",English,No,Wed-Sun 12:00-8:00,East Idaho
Idaho,ID,VVA Idaho Chapter 1,Local Post,PO Box 4621,Boise,83711,(208) 345-8387,vvaidaho@gmail.com,https://vvaid.org,"Benefits, Agent Orange, PTSD",English,Yes,By appointment,Vietnam veterans services
Idaho,ID,Idaho Division of Veterans Services,State Agency,351 Collins Road,Boise,83702,(208) 780-1300,veterans@veterans.idaho.gov,https://veterans.idaho.gov,"State benefits, Claims, Cemetery",English,Yes,Mon-Fri 8:00-5:00,State veterans office
Illinois,IL,VFW Department of Illinois,State HQ,2720 East Lincoln Street,Bloomington,61704,(309) 663-0061,office@vfwil.org,https://vfwil.org,"Claims assistance, Benefits counseling, Employment","English, Spanish, Polish",No,Mon-Fri 8:00-4:30,State headquarters
Illinois,IL,American Legion Department of Illinois,State HQ,2720 East Lincoln Street,Bloomington,61704,(309) 663-0361,hq@illegion.org,https://www.illegion.org,"VA claims, Employment, Community","English, Spanish",Yes,By appointment,State service office
Illinois,IL,DAV Department of Illinois,State HQ,3740 Wabash Avenue,Springfield,62711,(217) 241-4304,davillinois@gmail.com,https://davwebsites.dav.org/IL,"VA claims, Benefits assistance","English, Spanish, Polish",No,Mon-Fri 8:00-4:00,Free claims assistance
Illinois,IL,AMVETS Department of Illinois,State HQ,2200 South 6th Street,Springfield,62703,(217) 528-4713,amvetsil@gmail.com,https://amvetsil.org,"Benefits, Employment, Transition","English, Spanish",No,Mon-Fri 9:00-5:00,Veteran support services
Illinois,IL,VFW Post 2127 Chicago,Local Post,5253 North Elston Avenue,Chicago,60630,(773) 775-2127,vfwpost2127@gmail.com,https://vfwpost2127.org,"Local support, VA referrals","English, Spanish, Polish",No,Mon-Fri 10:00-9:00,Northwest Chicago
Illinois,IL,American Legion Post 1 Springfield,Local Post,1001 North Grand Avenue East,Springfield,62702,(217) 522-3995,alpost1springfield@gmail.com,https://springfieldpost1.org,"Community service, Benefits",English,No,Mon-Fri 10:00-6:00,State capital location
Illinois,IL,DAV Peoria Chapter,Regional Office,411 Hamilton Boulevard,Peoria,61602,(309) 671-7138,davpeoria@gmail.com,https://davpeoria.org,"VA claims, Medical transport","English, Spanish",Yes,Tue-Thu 9:00-3:00,Central Illinois
Illinois,IL,VFW Post 2791 Rockford,Local Post,205 15th Avenue,Rockford,61104,(815) 962-2791,vfwpost2791@yahoo.com,https://vfwpost2791.org,"Community service, Benefits",English,No,Wed-Sun 12:00-8:00,North Illinois
Illinois,IL,VVA Illinois State Council,State HQ,PO Box 9486,Springfield,62791,(217) 787-9387,vvaillinois@gmail.com,https://vvail.org,"Benefits, Agent Orange, PTSD","English, Spanish",Yes,By appointment,Vietnam veterans services
Illinois,IL,Illinois Department of Veterans Affairs,State Agency,833 South Spring Street,Springfield,62704,(217) 782-6641,veterans@illinois.gov,https://www.illinois.gov/veterans,"State benefits, Claims, Healthcare","English, Spanish, Polish",Yes,Mon-Fri 8:30-5:00,State veterans department
Indiana,IN,VFW Department of Indiana,State HQ,9555 East 59th Street,Indianapolis,46216,(317) 377-1795,office@vfwin.org,https://vfwin.org,"Claims assistance, Benefits counseling, Employment","English, Spanish",No,Mon-Fri 8:00-4:30,State headquarters
Indiana,IN,American Legion Department of Indiana,State HQ,777 North Meridian Street,Indianapolis,46204,(317) 630-1300,info@indlegion.org,https://www.indlegion.org,"VA claims, Employment, Community",English,Yes,By appointment,State service office
Indiana,IN,DAV Indiana Department,State HQ,5975 Lakeside Boulevard,Indianapolis,46278,(317) 299-9726,davindiana@gmail.com,https://davindiana.org,"VA claims, Benefits assistance","English, Spanish",No,Mon-Fri 8:00-4:00,Free claims assistance
Indiana,IN,AMVETS Indiana Department,State HQ,2840 Lafayette Road Suite A,Indianapolis,46222,(812) 240-5640,amvetsin@gmail.com,https://amvetsin.org,"Benefits, Employment, Transition",English,No,Mon-Fri 9:00-5:00,Veteran support services
Indiana,IN,VFW Post 1130 Indianapolis,Local Post,8925 East 21st Street,Indianapolis,46229,(317) 898-1130,vfwpost1130@gmail.com,https://vfwpost1130.org,"Local support, VA referrals",English,No,Mon-Sat 11:00-9:00,East Indianapolis
Indiana,IN,American Legion Post 64 Fort Wayne,Local Post,2408 South Calhoun Street,Fort Wayne,46807,(260) 456-2564,alpost64fw@gmail.com,https://fortpost64.org,"Community service, Benefits",English,No,Mon-Fri 10:00-6:00,Northeast Indiana
Indiana,IN,DAV Evansville Chapter,Regional Office,715 Locust Street,Evansville,47708,(812) 425-5729,davevansville@gmail.com,https://davevansville.org,"VA claims, Medical transport",English,Yes,Tue-Thu 9:00-3:00,Southwest Indiana
Indiana,IN,VFW Post 1114 South Bend,Local Post,520 South Michigan Street,South Bend,46601,(574) 234-1114,vfwpost1114sb@yahoo.com,https://vfwpost1114sb.org,"Community service, Benefits",English,No,Wed-Sun 12:00-8:00,North Indiana
Indiana,IN,VVA Indiana State Council,State HQ,PO Box 20592,Indianapolis,46220,(317) 257-9387,vvaindiana@gmail.com,https://vvain.org,"Benefits, Agent Orange, PTSD",English,Yes,By appointment,Vietnam veterans services
Indiana,IN,Indiana Department of Veterans Affairs,State Agency,302 West Washington Street Room E-120,Indianapolis,46204,(317) 232-3910,info@dva.in.gov,https://www.in.gov/dva,"State benefits, Claims, Education",English,Yes,Mon-Fri 8:00-4:30,State veterans office
Iowa,IA,VFW Department of Iowa,State HQ,106 South Ankeny Boulevard,Ankeny,50023,(515) 964-1975,office@iavfw.org,https://iavfw.org,"Claims assistance, Benefits counseling, Employment",English,No,Mon-Fri 8:00-4:30,State headquarters
Iowa,IA,American Legion Department of Iowa,State HQ,720 Lyon Street,Des Moines,50309,(515) 282-5068,info@ialegion.org,https://www.ialegion.org,"VA claims, Employment, Community",English,Yes,By appointment,State service office
Iowa,IA,DAV Iowa Department,State HQ,3703 1st Avenue SE,Cedar Rapids,52402,(319) 363-4458,daviowa@gmail.com,https://daviowa.org,"VA claims, Benefits assistance","English, Spanish",No,Mon-Fri 8:00-4:00,Free claims assistance
Iowa,IA,AMVETS Iowa Department,State HQ,PO Box 2147,Des Moines,50310,(515) 279-9384,amvetsia@gmail.com,https://amvetsia.org,"Benefits, Employment, Transition",English,No,Mon-Fri 9:00-5:00,Veteran support services
Iowa,IA,VFW Post 788 Des Moines,Local Post,534 42nd Street,Des Moines,50312,(515) 255-0788,vfwpost788@gmail.com,https://vfwpost788.org,"Local support, VA referrals",English,No,Mon-Sat 11:00-9:00,Central Iowa
Iowa,IA,American Legion Post 32 Iowa City,Local Post,417 South Gilbert Street,Iowa City,52240,(319) 337-3232,alpost32ic@gmail.com,https://iowacitypost32.org,"Community service, Benefits",English,No,Mon-Fri 10:00-6:00,Southeast Iowa
Iowa,IA,DAV Sioux City Chapter,Regional Office,1551 Indian Hills Drive,Sioux City,51104,(712) 258-4661,davsiouxcity@gmail.com,https://davsiouxcity.org,"VA claims, Medical transport",English,Yes,Tue-Thu 9:00-3:00,Northwest Iowa
Iowa,IA,VFW Post 1856 Cedar Rapids,Local Post,3707 Queen Court SW,Cedar Rapids,52404,(319) 396-1856,vfwpost1856@yahoo.com,https://vfwpost1856.org,"Community service, Benefits",English,No,Wed-Sun 12:00-8:00,East Iowa
Iowa,IA,VVA Iowa State Council,State HQ,PO Box 252,Waterloo,50704,(319) 234-8387,vvaiowa@gmail.com,https://vvaia.org,"Benefits, Agent Orange, PTSD",English,Yes,By appointment,Vietnam veterans services
Iowa,IA,Iowa Department of Veterans Affairs,State Agency,7105 NW 70th Avenue,Camp Dodge - Johnston,50131,(515) 242-5331,info@ivh.state.ia.us,https://va.iowa.gov,"State benefits, Claims, Healthcare",English,Yes,Mon-Fri 8:00-4:30,State veterans office
Kansas,KS,VFW Department of Kansas,State HQ,829 SW Fairlawn Road,Topeka,66606,(785) 233-9240,office@ksvfw.org,https://ksvfw.org,"Claims assistance, Benefits counseling, Employment","English, Spanish",No,Mon-Fri 8:00-4:30,State headquarters
Kansas,KS,American Legion Department of Kansas,State HQ,1314 SW Topeka Boulevard,Topeka,66612,(785) 232-9315,info@kslegion.org,https://www.kslegion.org,"VA claims, Employment, Community",English,Yes,By appointment,State service office
Kansas,KS,DAV Kansas Department,State HQ,PO Box 3805,Topeka,66604,(785) 232-1919,davkansas@gmail.com,https://davkansas.org,"VA claims, Benefits assistance","English, Spanish",No,Mon-Fri 8:00-4:00,Free claims assistance
Kansas,KS,AMVETS Kansas Department,State HQ,PO Box 67126,Topeka,66667,(785) 272-2999,amvetsks@gmail.com,https://amvetsks.org,"Benefits, Employment, Transition",English,No,Mon-Fri 9:00-5:00,Veteran support services
Kansas,KS,VFW Post 1650 Wichita,Local Post,114 South Market Street,Wichita,67202,(316) 262-1650,vfwpost1650@gmail.com,https://vfwpost1650.org,"Local support, VA referrals","English, Spanish",No,Mon-Sat 11:00-9:00,South central Kansas
Kansas,KS,American Legion Post 1 Topeka,Local Post,3800 SW Topeka Boulevard,Topeka,66609,(785) 267-1923,alpost1topeka@gmail.com,https://topekapost1.org,"Community service, Benefits",English,No,Mon-Fri 10:00-6:00,State capital location
Kansas,KS,DAV Kansas City Chapter,Regional Office,4101 South 4th Street,Leavenworth,66048,(913) 682-2292,davkansascity@gmail.com,https://davkc.org,"VA claims, Medical transport",English,Yes,Tue-Thu 9:00-3:00,Northeast Kansas
Kansas,KS,VFW Post 7397 Manhattan,Local Post,2025 Leavenworth Street,Manhattan,66502,(785) 539-7397,vfwpost7397@yahoo.com,https://vfwpost7397.org,"Community service, Benefits",English,No,Wed-Sun 12:00-8:00,Riley County
Kansas,KS,VVA Kansas State Council,State HQ,PO Box 3805,Topeka,66604,(785) 271-9387,vvakansas@gmail.com,https://vvaks.org,"Benefits, Agent Orange, PTSD","English, Spanish",Yes,By appointment,Vietnam veterans services
Kansas,KS,Kansas Commission on Veterans Affairs,State Agency,Jayhawk Tower 700 SW Jackson Street Suite 701,Topeka,66603,(785) 296-3976,kcva.info@ks.gov,https://kcva.ks.gov,"State benefits, Claims, Education",English,Yes,Mon-Fri 8:00-5:00,State veterans office
Kentucky,KY,VFW Department of Kentucky,State HQ,1351 Newtown Pike,Lexington,40511,(859) 231-5568,office@vfwky.org,https://vfwky.org,"Claims assistance, Benefits counseling, Employment services",English,No,Mon-Fri 8:00-4:30,State headquarters
Kentucky,KY,American Legion Department of Kentucky,State HQ,1314 Parkway Drive,Louisville,40217,(502) 587-1414,info@kylegion.org,https://www.kylegion.org,"VA claims, Employment, Community",English,Yes,By appointment,State service office
Kentucky,KY,DAV Kentucky Department,State HQ,832 East High Street,Lexington,40502,(859) 254-3806,davkentucky@gmail.com,https://davky.org,"VA claims, Benefits assistance","English, Spanish",No,Mon-Fri 8:00-4:00,Free claims assistance
Kentucky,KY,AMVETS Kentucky Department,State HQ,PO Box 3382,Louisville,40233,(502) 719-2998,amvetsky@gmail.com,https://amvetsky.org,"Benefits, Employment, Transition",English,No,Mon-Fri 9:00-5:00,Veteran support services
Kentucky,KY,VFW Post 696 Louisville,Local Post,2801 Klondike Lane,Louisville,40218,(502) 454-2625,vfwpost696@gmail.com,https://vfwpost696.org,"Local support, VA referrals",English,No,Mon-Sat 11:00-9:00,Active Louisville post
Kentucky,KY,American Legion Post 8 Lexington,Local Post,1314 Leestown Road,Lexington,40508,(859) 252-0388,alpost8lex@gmail.com,https://lexpost8.org,"Community service, Benefits",English,No,Mon-Fri 10:00-6:00,Bluegrass region
Kentucky,KY,DAV Bowling Green Chapter,Regional Office,645 Jim Cummins Highway,Bowling Green,42101,(270) 843-9291,davbg@gmail.com,https://davbg.org,"VA claims, Medical transport",English,Yes,Tue-Thu 9:00-3:00,South central Kentucky
Kentucky,KY,VFW Post 4075 Covington,Local Post,730 Madison Avenue,Covington,41011,(859) 291-4075,vfwpost4075@yahoo.com,https://vfwpost4075.org,"Community service, Benefits",English,No,Wed-Sun 12:00-8:00,Northern Kentucky
Kentucky,KY,VVA Kentucky State Council,State HQ,PO Box 412,Frankfort,40602,(502) 229-7387,vvakentucky@gmail.com,https://vvaky.org,"Benefits, Agent Orange, PTSD",English,Yes,By appointment,Vietnam veterans services
Kentucky,KY,Kentucky Department of Veterans Affairs,State Agency,321 West Main Street Suite 390,Louisville,40202,(502) 595-4447,veterans@ky.gov,https://veterans.ky.gov,"State benefits, Claims, Healthcare",English,Yes,Mon-Fri 8:00-4:30,State veterans office
Louisiana,LA,VFW Department of Louisiana,State HQ,2130 North Arnoult Road,Metairie,70001,(504) 835-4357,office@vfwla.org,https://vfwla.org,"Claims assistance, Benefits counseling, Employment services","English, French",No,Mon-Fri 8:00-5:00,State headquarters
Louisiana,LA,American Legion Department of Louisiana,State HQ,3701 Highway 190 West,Port Allen,70767,(225) 383-0022,info@lalgion.org,https://www.lalgion.org,"VA claims, Employment, Community","English, French",Yes,By appointment,State service office
Louisiana,LA,DAV Louisiana Department,State HQ,1855 Wooddale Boulevard Suite 200,Baton Rouge,70806,(225) 928-2334,davlouisiana@gmail.com,https://davla.org,"VA claims, Benefits assistance","English, French, Spanish",No,Mon-Fri 8:00-4:00,Free claims assistance
Louisiana,LA,AMVETS Louisiana Department,State HQ,PO Box 80966,Baton Rouge,70898,(225) 389-3117,amvetsla@gmail.com,https://amvetsla.org,"Benefits, Employment, Transition","English, French",No,Mon-Fri 9:00-5:00,Veteran support services
Louisiana,LA,VFW Post 2330 New Orleans,Local Post,430 North Claiborne Avenue,New Orleans,70112,(504) 522-2330,vfwpost2330@gmail.com,https://vfwpost2330.org,"Local support, VA referrals","English, French",No,Mon-Fri 10:00-9:00,Greater New Orleans
Louisiana,LA,American Legion Post 1 Baton Rouge,Local Post,4731 North Boulevard,Baton Rouge,70806,(225) 928-0024,alpost1br@gmail.com,https://brpost1.org,"Community service, Benefits","English, French",No,Mon-Fri 10:00-6:00,State capital location
Louisiana,LA,DAV Shreveport Chapter,Regional Office,2800 Greenwood Road,Shreveport,71109,(318) 636-9201,davshreveport@gmail.com,https://davshreveport.org,"VA claims, Medical transport",English,Yes,Tue-Thu 9:00-3:00,Northwest Louisiana
Louisiana,LA,VFW Post 9559 Lafayette,Local Post,419 Doucet Road,Lafayette,70503,(337) 984-9559,vfwpost9559@yahoo.com,https://vfwpost9559.org,"Community service, Benefits","English, French",No,Wed-Sun 12:00-8:00,Acadiana region
Louisiana,LA,VVA Louisiana State Council,State HQ,PO Box 3353,Baton Rouge,70821,(225) 273-8387,vvalouisiana@gmail.com,https://vvala.org,"Benefits, Agent Orange, PTSD","English, French",Yes,By appointment,Vietnam veterans services
Louisiana,LA,Louisiana Department of Veterans Affairs,State Agency,1885 Wooddale Boulevard Suite 1013,Baton Rouge,70806,(225) 922-0500,vetaffairs@la.gov,https://vetaffairs.la.gov,"State benefits, Claims, Healthcare","English, French",Yes,Mon-Fri 8:00-4:30,State veterans department
Maine,ME,VFW Department of Maine,State HQ,5 Verti Drive,Winslow,04901,(207) 873-3229,office@vfwmaine.org,https://vfwmaine.org,"Claims assistance, Benefits counseling, Employment services",English,No,Mon-Fri 8:00-4:30,State headquarters
Maine,ME,American Legion Department of Maine,State HQ,5 Verti Drive,Winslow,04901,(207) 873-3229,info@mainelegion.org,https://www.mainelegion.org,"VA claims, Employment, Community",English,Yes,By appointment,State service office
Maine,ME,DAV Maine Department,State HQ,340 Mount Hope Avenue Suite 300,Bangor,04401,(207) 942-5963,davmaine@gmail.com,https://davmaine.org,"VA claims, Benefits assistance",English,No,Mon-Fri 8:00-4:00,Free claims assistance
Maine,ME,AMVETS Maine Department,State HQ,PO Box 525,Augusta,04332,(207) 623-8772,amvetsme@gmail.com,https://amvetsme.org,"Benefits, Employment, Transition",English,No,Mon-Fri 9:00-5:00,Veteran support services
Maine,ME,VFW Post 2197 Portland,Local Post,17 Oceana Drive,Peaks Island,04108,(207) 766-4665,vfwpost2197@gmail.com,https://vfwpost2197.org,"Local support, VA referrals",English,No,Mon-Sat 11:00-9:00,Greater Portland area
Maine,ME,American Legion Post 1 Augusta,Local Post,143 Capitol Street,Augusta,04330,(207) 622-9731,alpost1augusta@gmail.com,https://augustapost1.org,"Community service, Benefits",English,No,Mon-Fri 10:00-6:00,State capital location
Maine,ME,DAV Bangor Chapter,Regional Office,35 Springer Drive,Bangor,04401,(207) 941-8387,davbangor@gmail.com,https://davbangor.org,"VA claims, Medical transport",English,Yes,Tue-Thu 9:00-3:00,Eastern Maine
Maine,ME,VFW Post 9935 Lewiston,Local Post,50 Pine Street,Lewiston,04240,(207) 783-9935,vfwpost9935@yahoo.com,https://vfwpost9935.org,"Community service, Benefits",English,No,Wed-Sun 12:00-8:00,Androscoggin County
Maine,ME,VVA Maine State Council,State HQ,PO Box 8318,Portland,04104,(207) 650-8387,vvamaine@gmail.com,https://vvame.org,"Benefits, Agent Orange, PTSD",English,Yes,By appointment,Vietnam veterans services
Maine,ME,Maine Bureau of Veterans Services,State Agency,117 State House Station,Augusta,04333,(207) 430-6035,mainebvs@maine.gov,https://www.maine.gov/veterans,"State benefits, Claims, Education",English,Yes,Mon-Fri 8:00-5:00,State veterans office
Maryland,MD,VFW Department of Maryland,State HQ,7108 Minstrel Way Suite 101,Columbia,21045,(410) 799-3198,office@mdvfw.org,https://vfwmd.org,"Claims assistance, Benefits counseling, Employment services","English, Spanish",No,Mon-Fri 8:00-5:00,State headquarters
Maryland,MD,American Legion Department of Maryland,State HQ,101 North Gay Street 5th Floor,Baltimore,21202,(410) 752-1405,info@mdlegion.org,https://www.mdlegion.org,"VA claims, Employment, Community","English, Spanish",Yes,By appointment,State service office
Maryland,MD,DAV Maryland Department,State HQ,1777 Reisterstown Road Suite 410,Baltimore,21208,(410) 764-5603,davmaryland@gmail.com,https://davmd.org,"VA claims, Benefits assistance","English, Spanish",No,Mon-Fri 8:00-4:00,Free claims assistance
Maryland,MD,AMVETS Maryland Department,State HQ,1724 Forest Drive Suite 18,Annapolis,21401,(410) 268-3838,amvetsmd@gmail.com,https://amvetsmd.org,"Benefits, Employment, Transition",English,No,Mon-Fri 9:00-5:00,Veteran support services
Maryland,MD,VFW Post 160 Baltimore,Local Post,400 West 23rd Street,Baltimore,21211,(410) 889-0160,vfwpost160@gmail.com,https://vfwpost160.org,"Local support, VA referrals","English, Spanish",No,Mon-Fri 10:00-9:00,Baltimore City
Maryland,MD,American Legion Post 91 Rockville,Local Post,9 Park Road,Rockville,20850,(301) 340-9091,alpost91@gmail.com,https://rockpost91.org,"Community service, Benefits",English,No,Mon-Fri 10:00-6:00,Montgomery County
Maryland,MD,DAV Frederick Chapter,Regional Office,1 Frederick County Veterans Way,Frederick,21701,(301) 600-2345,davfrederick@gmail.com,https://davfrederick.org,"VA claims, Medical transport","English, Spanish",Yes,Tue-Thu 9:00-3:00,Western Maryland
Maryland,MD,VFW Post 10159 Silver Spring,Local Post,1401 Lamberton Drive,Silver Spring,20902,(301) 649-0159,vfwpost10159@yahoo.com,https://vfwpost10159.org,"Community service, Benefits","English, Spanish",No,Wed-Sun 12:00-8:00,Metro DC area
Maryland,MD,VVA Maryland State Council,State HQ,PO Box 3124,Glen Burnie,21061,(410) 760-8387,vvamaryland@gmail.com,https://vvamd.org,"Benefits, Agent Orange, PTSD","English, Spanish",Yes,By appointment,Vietnam veterans services
Maryland,MD,Maryland Department of Veterans Affairs,State Agency,The Wineland Building 16 Francis Street,Annapolis,21401,(410) 260-3838,mdva.info@maryland.gov,https://veterans.maryland.gov,"State benefits, Claims, Healthcare, Cemetery","English, Spanish",Yes,Mon-Fri 8:00-5:00,State veterans department
Massachusetts,MA,VFW Department of Massachusetts,State HQ,24 Beacon Street,Boston,02133,(617) 303-5690,office@vfwma.org,https://vfwma.com,"Claims assistance, Benefits counseling, Employment services",English,No,Mon-Fri 8:00-4:30,State headquarters
Massachusetts,MA,American Legion Department of Massachusetts,State HQ,546 Pleasant Street,Watertown,02472,(617) 926-1100,info@masslegion.org,https://www.masslegion.org,"VA claims, Employment, Community",English,Yes,By appointment,State service office
Massachusetts,MA,DAV Massachusetts Department,State HQ,State House Room 546,Boston,02133,(617) 727-2974,davmassachusetts@gmail.com,https://davma.org,"VA claims, Benefits assistance","English, Spanish, Portuguese",No,Mon-Fri 8:00-4:00,Free claims assistance
Massachusetts,MA,AMVETS Massachusetts Department,State HQ,470 Donald Lynch Boulevard,Marlborough,01752,(508) 485-3020,amvetsma@gmail.com,https://www.amvetsma.org,"Benefits, Employment, Transition",English,No,Mon-Fri 9:00-5:00,Veteran support services
Massachusetts,MA,VFW Post 1274 Boston,Local Post,11 Allstate Road,Dorchester,02125,(617) 436-1274,vfwpost1274@gmail.com,https://vfwpost1274.org,"Local support, VA referrals","English, Spanish",No,Mon-Sat 11:00-9:00,Greater Boston
Massachusetts,MA,American Legion Post 3 Worcester,Local Post,205 Shrewsbury Street,Worcester,01604,(508) 753-5403,alpost3worcester@gmail.com,https://worcesterpost3.org,"Community service, Benefits",English,No,Mon-Fri 10:00-6:00,Central Massachusetts
Massachusetts,MA,DAV Springfield Chapter,Regional Office,99 Chapin Terrace,Springfield,01107,(413) 787-8387,davspringfield@gmail.com,https://davspringfield.org,"VA claims, Medical transport","English, Spanish, Portuguese",Yes,Tue-Thu 9:00-3:00,Western Massachusetts
Massachusetts,MA,VFW Post 2152 Cambridge,Local Post,688 Huron Avenue,Cambridge,02138,(617) 876-2152,vfwpost2152@yahoo.com,https://vfwpost2152.org,"Community service, Benefits",English,No,Wed-Sun 12:00-8:00,Metro Boston
Massachusetts,MA,VVA Massachusetts State Council,State HQ,PO Box 60340,Worcester,01606,(508) 755-8387,vvamassachusetts@gmail.com,https://vvama.org,"Benefits, Agent Orange, PTSD","English, Spanish",Yes,By appointment,Vietnam veterans services
Massachusetts,MA,Massachusetts Department of Veterans Services,State Agency,600 Washington Street 1100,Boston,02111,(617) 210-5480,dvsinfo@mass.gov,https://www.mass.gov/orgs/department-of-veterans-services,"State benefits, Claims, Healthcare, Cemetery",English,Yes,Mon-Fri 8:45-5:00,State veterans department
Michigan,MI,VFW Department of Michigan,State HQ,924 North Washington Avenue,Lansing,48906,(517) 485-9456,office@vfwmi.org,https://vfwmi.org,"Claims assistance, Benefits counseling, Employment services","English, Arabic, Spanish",No,Mon-Fri 8:00-5:00,State headquarters
Michigan,MI,American Legion Department of Michigan,State HQ,212 North Verlinden Avenue Suite A,Lansing,48915,(517) 371-4720,info@michiganlegion.org,https://www.michiganlegion.org,"VA claims, Employment, Community","English, Arabic",Yes,By appointment,State service office
Michigan,MI,DAV Michigan Department,State HQ,Patrick V. McNamara Federal Building 477 Michigan Avenue Room 1228,Detroit,48226,(313) 964-6510,davmichigan@gmail.com,https://davmi.org,"VA claims, Benefits assistance","English, Spanish, Arabic",No,Mon-Fri 8:00-4:00,Free claims assistance
Michigan,MI,AMVETS Michigan Department,State HQ,1582 South Washington Avenue,Lansing,48910,(517) 487-1755,amvetsmi@gmail.com,https://amvetsmichigan.org,"Benefits, Employment, Transition",English,No,Mon-Fri 9:00-5:00,Veteran support services
Michigan,MI,VFW Post 334 Detroit,Local Post,4140 Woodward Avenue,Detroit,48201,(313) 831-6334,vfwpost334@gmail.com,https://vfwpost334.org,"Local support, VA referrals","English, Arabic",No,Mon-Fri 10:00-9:00,Metro Detroit
Michigan,MI,American Legion Post 4 Grand Rapids,Local Post,468 Leonard Street NW,Grand Rapids,49504,(616) 459-3004,alpost4gr@gmail.com,https://grpost4.org,"Community service, Benefits",English,No,Mon-Fri 10:00-6:00,West Michigan
Michigan,MI,DAV Lansing Chapter,Regional Office,1156 South Washington Avenue,Lansing,48910,(517) 484-4884,davlansing@gmail.com,https://davlansing.org,"VA claims, Medical transport","English, Spanish",Yes,Tue-Thu 9:00-3:00,Capital area
Michigan,MI,VFW Post 5942 Flint,Local Post,1324 West Court Street,Flint,48503,(810) 235-5942,vfwpost5942@yahoo.com,https://vfwpost5942.org,"Community service, Benefits",English,No,Wed-Sun 12:00-8:00,Genesee County
Michigan,MI,VVA Michigan State Council,State HQ,PO Box 26062,Lansing,48909,(517) 321-8387,vvamichigan@gmail.com,https://vvami.org,"Benefits, Agent Orange, PTSD","English, Spanish",Yes,By appointment,Vietnam veterans services
Michigan,MI,Michigan Veterans Affairs Agency,State Agency,3554 Motor Avenue,Lansing,48910,(517) 284-5296,mvaa@michigan.gov,https://www.michigan.gov/mvaa,"State benefits, Claims, Healthcare, Homes","English, Arabic, Spanish",Yes,Mon-Fri 8:00-5:00,State veterans agency
Minnesota,MN,VFW Department of Minnesota,State HQ,20 West 12th Street Room 214A,St. Paul,55155,(651) 291-1757,office@vfwmn.org,https://www.vfwmn.org,"Claims assistance, Benefits counseling, Employment services","English, Somali, Hmong",No,Mon-Fri 8:00-4:30,State headquarters
Minnesota,MN,American Legion Department of Minnesota,State HQ,20 West 12th Street Room 300A,St. Paul,55155,(651) 291-1800,info@mnlegion.org,https://www.mnlegion.org,"VA claims, Employment, Community","English, Somali, Hmong",Yes,By appointment,State service office
Minnesota,MN,DAV Minnesota Department,State HQ,Bishop Henry Whipple Federal Building 1 Federal Drive Room G900,St. Paul,55111,(612) 970-5669,davminnesota@gmail.com,https://davmn.org,"VA claims, Benefits assistance","English, Somali, Hmong",No,Mon-Fri 8:00-4:00,Free claims assistance
Minnesota,MN,AMVETS Minnesota Department,State HQ,PO Box 13124,Roseville,55113,(651) 233-1999,amvetsmn@gmail.com,https://amvetsmn.org,"Benefits, Employment, Transition",English,No,Mon-Fri 9:00-5:00,Veteran support services
Minnesota,MN,VFW Post 2766 Minneapolis,Local Post,2929 Bryant Avenue South,Minneapolis,55408,(612) 824-2766,vfwpost2766@gmail.com,https://vfwpost2766.org,"Local support, VA referrals","English, Somali",No,Mon-Sat 11:00-9:00,South Minneapolis
Minnesota,MN,American Legion Post 49 St. Paul,Local Post,685 Stewart Avenue,St. Paul,55102,(651) 222-8439,alpost49sp@gmail.com,https://stpaulpost49.org,"Community service, Benefits","English, Hmong",No,Mon-Fri 10:00-6:00,State capital location
Minnesota,MN,DAV Duluth Chapter,Regional Office,412 West Superior Street,Duluth,55802,(218) 722-8387,davduluth@gmail.com,https://davduluth.org,"VA claims, Medical transport",English,Yes,Tue-Thu 9:00-3:00,Northeastern Minnesota
Minnesota,MN,VFW Post 5555 Bloomington,Local Post,9625 Lyndale Avenue South,Bloomington,55420,(952) 888-5555,vfwpost5555@yahoo.com,https://vfwpost5555.org,"Community service, Benefits",English,No,Wed-Sun 12:00-8:00,Metro area
