school_name,school_type,state,city,programs_offered,total_enrollment,veteran_enrollment,yellow_ribbon_program,in_state_tuition,out_of_state_tuition,housing_allowance_rate,graduation_rate,veteran_graduation_rate,post_graduation_employment_rate,gi_bill_students,veteran_services_office,contact_phone,contact_email,website,notes
Liberty University Online,Online,Virginia,Lynchburg,"All majors - Religion, Business, Nursing, Education, Psychology",95000,14000,Yes,11700,11700,Online rate,42%,48%,76%,14000,Yes,(800) 424-9595,veterans@liberty.edu,https://www.liberty.edu/online,Largest Christian university
University of North Carolina Charlotte,Public,North Carolina,Charlotte,"Engineering, Business, Computing, Health, Architecture",30000,1280,Yes,7331,20895,1665,62%,66%,79%,1280,Yes,(704) 687-8622,veterans@uncc.edu,https://www.uncc.edu,Urban research university
East Carolina University,Public,North Carolina,Greenville,"Business, Nursing, Allied Health, Education, Arts",29000,1260,Yes,7239,23423,1335,65%,68%,80%,1260,Yes,(252) 328-6131,veterans@ecu.edu,https://www.ecu.edu,Health sciences focus
Appalachian State University,Public,North Carolina,Boone,"Education, Business, Arts, Health Sciences, Applied Design",21000,1240,Yes,7410,21544,1335,73%,76%,84%,1240,Yes,(828) 262-2000,veterans@appstate.edu,https://www.appstate.edu,Mountain university
University of North Carolina Wilmington,Public,North Carolina,Wilmington,"Marine Biology, Business, Film, Nursing, Education",18000,1220,Yes,7379,22126,1335,74%,77%,85%,1220,Yes,(910) 962-3000,veterans@uncw.edu,https://www.uncw.edu,Coastal university
Wake Forest University,Private,North Carolina,Winston-Salem,"Business, Medicine, Law, Divinity, Liberal Arts",9000,200,Yes,64478,64478,1335,90%,92%,95%,200,Yes,(336) 758-5000,veterans@wfu.edu,https://www.wfu.edu,Private research university
Duke University,Private,North Carolina,Durham,"Engineering, Business, Medicine, Law, Public Policy",17000,250,Yes,66325,66325,1665,96%,97%,98%,250,Yes,(919) 684-8111,veterans@duke.edu,https://www.duke.edu,Elite private university
The Citadel,Public,South Carolina,Charleston,"Business, Engineering, Education, Liberal Arts, STEM",3700,450,No,13248,37170,1335,71%,75%,86%,450,Yes,(843) 225-3294,veterans@citadel.edu,https://www.citadel.edu,Military college of South Carolina
College of Charleston,Public,South Carolina,Charleston,"Business, Sciences, Arts, Education, Public Health",10000,1180,Yes,13222,35014,1335,68%,71%,82%,1180,Yes,(843) 805-5507,veterans@cofc.edu,https://www.cofc.edu,Historic Charleston
Coastal Carolina University,Public,South Carolina,Conway,"Business, Marine Science, Education, Health, Resort Tourism",10000,1150,Yes,11640,28950,1335,52%,57%,75%,1150,Yes,(843) 347-3161,veterans@coastal.edu,https://www.coastal.edu,Fast-growing coastal university
University of Memphis,Public,Tennessee,Memphis,"Business, Engineering, Education, Music, Communication",21000,1380,Yes,9911,14091,1209,53%,58%,75%,1380,Yes,(901) 678-2000,veterans@memphis.edu,https://www.memphis.edu,Urban research university
Middle Tennessee State University,Public,Tennessee,Murfreesboro,"Aerospace, Business, Recording Industry, Concrete, Mass Comm",20000,1340,Yes,9248,29464,1551,50%,55%,73%,1340,Yes,(615) 898-2300,veterans@mtsu.edu,https://www.mtsu.edu,Largest undergrad in TN
East Tennessee State University,Public,Tennessee,Johnson City,"Health Sciences, Business, Education, Pharmacy, Public Health",13000,1300,Yes,9072,28896,1209,55%,60%,76%,1300,Yes,(423) 439-1000,veterans@etsu.edu,https://www.etsu.edu,Academic health science center
University of Mississippi,Public,Mississippi,Oxford,"Business, Accounting, Pharmacy, Engineering, Journalism",24000,1270,Yes,9072,26718,1335,68%,71%,80%,1270,Yes,(662) 915-7211,veterans@olemiss.edu,https://olemiss.edu,SEC flagship
Mississippi State University,Public,Mississippi,Starkville,"Engineering, Agriculture, Veterinary, Business, Architecture",23000,1250,Yes,9248,26218,1335,63%,67%,78%,1250,Yes,(662) 325-2323,veterans@msstate.edu,https://www.msstate.edu,Land-grant SEC university
University of Southern Mississippi,Public,Mississippi,Hattiesburg,"Nursing, Business, Polymer Science, Marine Science, Music",13000,1220,Yes,9062,18062,1335,54%,59%,75%,1220,Yes,(601) 266-1000,veterans@usm.edu,https://www.usm.edu,Doctoral research university
University of Alabama Birmingham,Public,Alabama,Birmingham,"Medicine, Nursing, Business, Engineering, Public Health",22000,1600,Yes,11640,25904,1335,59%,63%,82%,1600,Yes,(205) 934-4011,veterans@uab.edu,https://www.uab.edu,Academic medical center
Auburn University,Public,Alabama,Auburn,"Engineering, Agriculture, Veterinary, Business, Pharmacy",31000,1580,Yes,11796,31956,1335,81%,84%,88%,1580,Yes,(334) 844-4000,veterans@auburn.edu,https://www.auburn.edu,Land-grant SEC university
Troy University,Public,Alabama,Troy,"Business, Nursing, Education, Criminal Justice, Sport Management",16000,1550,Yes,11088,22176,1335,45%,52%,72%,1550,Yes,(334) 670-3000,veterans@troy.edu,https://www.troy.edu,Multiple campus system
University of South Alabama,Public,Alabama,Mobile,"Medicine, Nursing, Business, Engineering, Allied Health",14000,1520,Yes,9570,19140,1335,49%,54%,73%,1520,Yes,(251) 460-6101,veterans@southalabama.edu,https://www.southalabama.edu,Comprehensive university
Jacksonville State University,Public,Alabama,Jacksonville,"Education, Business, Nursing, Criminal Justice, Arts",9000,1490,Yes,10800,21600,1335,47%,53%,71%,1490,Yes,(256) 782-5781,veterans@jsu.edu,https://www.jsu.edu,Regional university
University of North Alabama,Public,Alabama,Florence,"Business, Nursing, Education, Entertainment Industry, Arts",8500,1460,Yes,11530,22330,1335,51%,56%,74%,1460,Yes,(256) 765-4100,veterans@una.edu,https://www.una.edu,Comprehensive university
University of New Mexico,Public,New Mexico,Albuquerque,"Engineering, Medicine, Pharmacy, Law, Arts",26000,1440,Yes,7798,24634,1221,52%,57%,75%,1440,Yes,(505) 277-0111,veterans@unm.edu,https://www.unm.edu,Flagship research university
New Mexico State University,Public,New Mexico,Las Cruces,"Agriculture, Engineering, Business, Education, Health",12000,1410,Yes,7638,23658,1221,48%,54%,73%,1410,Yes,(575) 646-0111,veterans@nmsu.edu,https://www.nmsu.edu,Land-grant university
University of Nevada Las Vegas,Public,Nevada,Las Vegas,"Hotel Administration, Business, Engineering, Nursing, Gaming",31000,1380,Yes,8291,24431,2373,45%,51%,74%,1380,Yes,(702) 895-3011,veterans@unlv.edu,https://www.unlv.edu,Urban research university
University of Nevada Reno,Public,Nevada,Reno,"Engineering, Business, Journalism, Mining, Nursing",21000,1350,Yes,8291,24431,2178,60%,64%,78%,1350,Yes,(775) 784-1110,veterans@unr.edu,https://www.unr.edu,Land-grant university
Boise State University,Public,Idaho,Boise,"Business, Engineering, Health Sciences, Public Service, Arts",26000,1320,Yes,8206,25946,1413,51%,56%,75%,1320,Yes,(208) 426-1011,veterans@boisestate.edu,https://www.boisestate.edu,Metropolitan research university
Idaho State University,Public,Idaho,Pocatello,"Pharmacy, Health Professions, Engineering, Business, Education",12000,1290,Yes,7872,24466,1134,42%,48%,71%,1290,Yes,(208) 282-0211,veterans@isu.edu,https://www.isu.edu,Health professions focus
University of Idaho,Public,Idaho,Moscow,"Engineering, Agriculture, Law, Architecture, Natural Resources",11000,1260,Yes,8304,27642,1413,59%,63%,77%,1260,Yes,(208) 885-6111,veterans@uidaho.edu,https://www.uidaho.edu,Land-grant flagship
University of Montana,Public,Montana,Missoula,"Forestry, Wildlife Biology, Pharmacy, Business, Journalism",10000,1240,Yes,7688,28348,1413,52%,57%,74%,1240,Yes,(406) 243-0211,veterans@umontana.edu,https://www.umt.edu,Flagship Montana university
Montana State University,Public,Montana,Bozeman,"Engineering, Agriculture, Architecture, Business, Film",16000,1220,Yes,7838,27895,1413,61%,65%,79%,1220,Yes,(406) 994-0211,veterans@montana.edu,https://www.montana.edu,Land-grant university
University of Wyoming,Public,Wyoming,Laramie,"Engineering, Agriculture, Business, Pharmacy, Energy",12000,1200,Yes,5220,17100,1209,60%,64%,78%,1200,Yes,(307) 766-1121,veterans@uwyo.edu,https://www.uwyo.edu,Only four-year in Wyoming
University of Alaska Anchorage,Public,Alaska,Anchorage,"Engineering, Nursing, Business, Aviation, Logistics",15000,1180,Yes,7722,24216,2541,32%,39%,68%,1180,Yes,(907) 786-1800,veterans@uaa.alaska.edu,https://www.uaa.alaska.edu,Largest Alaska university
University of Alaska Fairbanks,Public,Alaska,Fairbanks,"Engineering, Natural Resources, Arctic Studies, Physics, Fisheries",7000,1150,Yes,7722,24216,2541,33%,40%,69%,1150,Yes,(907) 474-7211,veterans@alaska.edu,https://www.uaf.edu,Land-grant research university
University of Hawaii Manoa,Public,Hawaii,Honolulu,"Engineering, Business, Astronomy, Oceanography, Asian Studies",18000,1120,Yes,12186,35286,3261,63%,67%,80%,1120,Yes,(808) 956-8111,veterans@hawaii.edu,https://www.hawaii.edu,Flagship Pacific university
Hawaii Pacific University,Private,Hawaii,Honolulu,"Business, Nursing, Marine Science, Communication, IT",5000,950,Yes,31440,31440,3261,45%,51%,74%,950,Yes,(808) 544-0200,veterans@hpu.edu,https://www.hpu.edu,International and military focus
Chaminade University,Private,Hawaii,Honolulu,"Criminal Justice, Education, Nursing, Interior Design, Psychology",2500,650,Yes,30040,30040,3261,42%,48%,72%,650,Yes,(808) 735-4711,veterans@chaminade.edu,https://www.chaminade.edu,Catholic Marianist university
University of Guam,Public,Guam,Mangilao,"Business, Education, Nursing, Public Administration, Biology",3500,600,Yes,6912,19584,2628,48%,54%,71%,600,Yes,(671) 735-2201,veterans@triton.uog.edu,https://www.uog.edu,Only university in Guam
Air Force Institute of Technology,Military,Ohio,Wright-Patterson AFB,"Aerospace Engineering, Cybersecurity, Systems Engineering, Nuclear",800,800,N/A,Funded,Funded,N/A,95%,95%,100%,800,Yes,(937) 255-3025,afit@us.af.mil,https://www.afit.edu,Graduate military school
Naval Postgraduate School,Military,California,Monterey,"Engineering, Operations Research, National Security, Systems",2500,2500,N/A,Funded,Funded,N/A,97%,97%,100%,2500,Yes,(831) 656-2441,nps@nps.edu,https://www.nps.edu,Graduate military school
University of Southern California,Private,California,Los Angeles,"Engineering, Business, Cinematic Arts, Communication, Medicine",47000,920,Yes,66640,66640,2760,92%,93%,96%,920,Yes,(213) 740-2311,veterans@usc.edu,https://www.usc.edu,Private research university
University of California Berkeley,Public,California,Berkeley,"Engineering, Business, Computer Science, Sciences, Public Policy",45000,900,Yes,14226,44007,3003,93%,94%,97%,900,Yes,(510) 642-6000,veterans@berkeley.edu,https://www.berkeley.edu,Top public university
UCLA,Public,California,Los Angeles,"Engineering, Film, Medicine, Business, Arts",46000,880,Yes,13401,43003,2973,92%,93%,96%,880,Yes,(310) 825-4321,veterans@ucla.edu,https://www.ucla.edu,Top public research university
UC San Diego,Public,California,San Diego,"Engineering, Biology, Computer Science, Oceanography, Medicine",42000,860,Yes,14733,44693,2760,88%,89%,94%,860,Yes,(858) 534-2230,veterans@ucsd.edu,https://www.ucsd.edu,Research powerhouse
UC Irvine,Public,California,Irvine,"Engineering, Computer Science, Business, Medicine, Law",36000,840,Yes,13727,43693,2502,87%,88%,93%,840,Yes,(949) 824-5011,veterans@uci.edu,https://www.uci.edu,Fast-growing research university
UC Davis,Public,California,Davis,"Agriculture, Veterinary, Engineering, Medicine, Environmental",40000,820,Yes,14659,44408,2157,88%,89%,93%,820,Yes,(530) 752-1011,veterans@ucdavis.edu,https://www.ucdavis.edu,Land-grant research university
UC Santa Barbara,Public,California,Santa Barbara,"Engineering, Physics, Film, Environmental, Chemistry",26000,800,Yes,14391,44160,2760,85%,86%,91%,800,Yes,(805) 893-8000,veterans@ucsb.edu,https://www.ucsb.edu,Beach campus research university
Stanford University,Private,California,Stanford,"Engineering, Business, Medicine, Law, Computer Science",17000,280,Yes,62484,62484,2760,96%,97%,99%,280,Yes,(650) 723-2300,veterans@stanford.edu,https://www.stanford.edu,Elite private university
California Institute of Technology,Private,California,Pasadena,"Engineering, Physics, Chemistry, Biology, Planetary Science",2400,50,No,60864,60864,2760,94%,95%,98%,50,Yes,(626) 395-6811,veterans@caltech.edu,https://www.caltech.edu,Elite STEM university
Universal Technical Institute,Trade School,Arizona,Avondale,"Automotive, Diesel, Collision Repair, Welding, CNC",15000,2800,No,34945,34945,2178,75%,79%,92%,2800,Yes,(800) 859-1202,veterans@uti.edu,https://www.uti.edu,Military Friendly trade school
Lincoln Technical Institute,Trade School,New Jersey,Union,"Automotive, HVAC, Electrical, Welding, Medical Assistant",15000,2600,No,28500,28500,2025,68%,73%,88%,2600,Yes,(908) 964-7800,veterans@lincolntech.edu,https://www.lincolntech.edu,Multiple campus system
WyoTech,Trade School,Wyoming,Laramie,"Automotive, Diesel, Collision, Fabrication, Motorsports",2000,480,No,33795,33795,1209,72%,77%,90%,480,Yes,(307) 742-3776,veterans@wyotech.edu,https://www.wyotech.edu,Hands-on technical training
ITT Technical Institute Legacy Programs,Trade School,Various,Multiple,"IT, Electronics, Drafting, Criminal Justice, Business",0,0,No,Closed,Closed,N/A,N/A,N/A,N/A,0,No,N/A,N/A,N/A,School closed 2016 - listed for historical reference
Centura College,Trade School,Virginia,Virginia Beach,"Medical Assistant, HVAC, Practical Nursing, Massage Therapy",3500,650,No,16250,16250,1710,64%,69%,85%,650,Yes,(757) 340-2121,veterans@centuracollege.edu,https://www.centuracollege.edu,Healthcare and trades focus
Fortis Institute,Trade School,Alabama,Birmingham,"Nursing, Medical Assistant, HVAC, Electrical, Dental Assistant",5000,900,No,15800,15800,1335,61%,67%,83%,900,Yes,(205) 871-2700,veterans@fortis.edu,https://www.fortis.edu,Multiple campus system
Porter and Chester Institute,Trade School,Connecticut,Stratford,"Automotive, HVAC, Electrical, Plumbing, Welding",2500,450,No,22500,22500,1554,70%,75%,87%,450,Yes,(203) 375-4463,veterans@porterchester.edu,https://www.porterchester.edu,Northeast trade training
Apex Technical School,Trade School,New York,Long Island City,"HVAC, Welding, Electrical, Plumbing, Refrigeration",1200,280,No,19750,19750,2373,74%,78%,89%,280,Yes,(212) 645-3300,veterans@apextech.edu,https://www.apextech.edu,NYC area trade school
South Hills School of Business & Technology,Trade School,Pennsylvania,State College,"IT, Medical, Business, Criminal Justice, Graphic Design",1500,320,No,21800,21800,1488,65%,70%,84%,320,Yes,(814) 234-7755,veterans@southhills.edu,https://www.southhills.edu,Central Pennsylvania
Williamson College of the Trades,Trade School,Pennsylvania,Media,"Carpentry, Masonry, Horticulture, Machine Tool, Power Plant",250,45,No,0,0,1932,85%,88%,94%,45,Yes,(610) 566-1776,veterans@williamson.edu,https://www.williamson.edu,Free tuition trade school
Orleans Technical College,Trade School,Pennsylvania,Philadelphia,"Computer Networking, Electrical, HVAC, Medical Assistant",650,140,No,17400,17400,1932,68%,72%,86%,140,Yes,(215) 728-4700,veterans@orleanstech.edu,https://www.orleanstech.edu,Philadelphia trade school
Tulsa Welding School,Trade School,Oklahoma,Tulsa,"Welding, HVAC, Electrical, Pipefitting, Plumbing",2800,580,No,20950,20950,1209,76%,80%,91%,580,Yes,(918) 587-6789,veterans@tws.edu,https://www.tws.edu,Skilled trades focus
Midwest Technical Institute,Trade School,Illinois,Lincoln,"HVAC, Electrical, Plumbing, Welding, Industrial Maintenance",800,170,No,18500,18500,1209,71%,76%,88%,170,Yes,(217) 735-1731,veterans@midwesttech.edu,https://www.midwesttech.edu,Central Illinois
Spartan College of Aeronautics,Trade School,Oklahoma,Tulsa,"Aviation Maintenance, Avionics, Quality Control, Flight",1500,340,No,39900,39900,1209,73%,77%,93%,340,Yes,(918) 836-6886,veterans@spartan.edu,https://www.spartan.edu,Aviation technical training
Redstone College,Trade School,Colorado,Broomfield,"Aviation Maintenance, HVAC, Electrical, Construction Electrician",450,95,No,25800,25800,1467,69%,74%,89%,95,Yes,(303) 466-1714,veterans@redstone.edu,https://www.redstone.edu,Denver area technical college
San Joaquin Valley College,Trade School,California,Visalia,"Medical, HVAC, Construction Tech, Dental Assistant, Pharmacy Tech",8000,1400,No,16750,16750,2157,58%,64%,80%,1400,Yes,(559) 734-9000,veterans@sjvc.edu,https://www.sjvc.edu,Central Valley campuses
Tulsa Community College,Community College,Oklahoma,Tulsa,"Liberal Arts, Health, Business, Engineering Tech, Public Safety",17000,2850,No,3180,9420,1209,32%,39%,68%,2850,Yes,(918) 595-7000,veterans@tulsacc.edu,https://www.tulsacc.edu,Largest Oklahoma CC
Oklahoma City Community College,Community College,Oklahoma,Oklahoma City,"Liberal Arts, Nursing, Business, Aviation, Engineering Tech",13000,2650,No,3930,10170,1209,29%,36%,66%,2650,Yes,(405) 682-1611,veterans@occc.edu,https://www.occc.edu,Metro Oklahoma City
Rose State College,Community College,Oklahoma,Midwest City,"Liberal Arts, Dental Hygiene, Business, Respiratory Therapy",7000,2200,No,3780,10020,1209,28%,35%,65%,2200,Yes,(405) 733-7311,veterans@rose.edu,https://www.rose.edu,Near Tinker AFB
Tulsa Community College Northeast Campus,Community College,Oklahoma,Tulsa,"Liberal Arts, Health, Business, IT, Trades",5500,950,No,3180,9420,1209,31%,38%,67%,950,Yes,(918) 595-7000,veterans@tulsacc.edu,https://www.tulsacc.edu,TCC campus system
Central Piedmont Community College,Community College,North Carolina,Charlotte,"Liberal Arts, Health, Business, IT, Automotive",18000,2750,No,2592,8688,1932,34%,41%,69%,2750,Yes,(704) 330-2722,veterans@cpcc.edu,https://www.cpcc.edu,Largest NC community college
Wake Technical Community College,Community College,North Carolina,Raleigh,"Liberal Arts, Nursing, Business, IT, Engineering Tech",22000,2680,No,2592,8688,1665,38%,44%,71%,2680,Yes,(919) 866-5000,veterans@waketech.edu,https://www.waketech.edu,Research Triangle area
Guilford Technical Community College,Community College,North Carolina,Jamestown,"Liberal Arts, Health, Business, Transportation, Aviation",12000,2450,No,2592,8688,1335,30%,37%,67%,2450,Yes,(336) 334-4822,veterans@gtcc.edu,https://www.gtcc.edu,Piedmont Triad region
Forsyth Technical Community College,Community College,North Carolina,Winston-Salem,"Liberal Arts, Health, Business, Manufacturing, Public Safety",9000,2350,No,2592,8688,1335,33%,40%,68%,2350,Yes,(336) 723-0371,veterans@forsythtech.edu,https://www.forsythtech.edu,Winston-Salem area
Fayetteville Technical Community College,Community College,North Carolina,Fayetteville,"Liberal Arts, Nursing, Business, Automotive, Public Safety",11000,2820,No,2592,8688,1335,31%,38%,67%,2820,Yes,(910) 678-8400,veterans@faytechcc.edu,https://www.faytechcc.edu,Near Fort Liberty
Davidson County Community College,Community College,North Carolina,Lexington,"Liberal Arts, Nursing, Business, Gunsmithing, Viticulture",4500,1150,No,2592,8688,1335,36%,42%,69%,1150,Yes,(336) 249-8186,veterans@davidsonccc.edu,https://www.davidsonccc.edu,Central NC
Rowan-Cabarrus Community College,Community College,North Carolina,Salisbury,"Liberal Arts, Health, Business, Manufacturing, Motorsports",6500,1450,No,2592,8688,1665,35%,41%,70%,1450,Yes,(704) 216-7222,veterans@rccc.edu,https://www.rccc.edu,NASCAR tech programs
Cape Fear Community College,Community College,North Carolina,Wilmington,"Liberal Arts, Health, Business, Marine Tech, Aquaculture",7000,1680,No,2592,8688,1335,37%,43%,71%,1680,Yes,(910) 362-7000,veterans@cfcc.edu,https://www.cfcc.edu,Coastal North Carolina
Craven Community College,Community College,North Carolina,New Bern,"Liberal Arts, Health, Business, Aviation, Marine Tech",3000,980,No,2592,8688,1335,34%,40%,68%,980,Yes,(252) 638-7200,veterans@cravencc.edu,https://www.cravencc.edu,Coastal Carolina
Central Carolina Community College,Community College,North Carolina,Sanford,"Liberal Arts, Nursing, Business, Horticulture, Simulation",5500,1380,No,2592,8688,1335,33%,39%,68%,1380,Yes,(919) 775-5401,veterans@cccc.edu,https://www.cccc.edu,Central NC
Greenville Technical College,Community College,South Carolina,Greenville,"Liberal Arts, Engineering Tech, Health, Business, IT",12000,2450,No,5520,11832,1335,38%,44%,72%,2450,Yes,(864) 250-8000,veterans@gvltec.edu,https://www.gvltec.edu,Upstate South Carolina
Trident Technical College,Community College,South Carolina,Charleston,"Liberal Arts, Health, Business, Culinary, Homeland Security",13000,2580,No,5520,11832,1335,35%,41%,70%,2580,Yes,(843) 574-6111,veterans@tridenttech.edu,https://www.tridenttech.edu,Charleston metro area
Midlands Technical College,Community College,South Carolina,Columbia,"Liberal Arts, Health, Business, Engineering Tech, Dental",11000,2350,No,5520,11832,1335,32%,39%,68%,2350,Yes,(803) 738-8324,veterans@midlandstech.edu,https://www.midlandstech.edu,State capital area
Horry-Georgetown Technical College,Community College,South Carolina,Conway,"Liberal Arts, Nursing, Business, Golf Management, Marine",6000,1750,No,5520,11832,1335,40%,46%,73%,1750,Yes,(843) 347-3186,veterans@hgtc.edu,https://www.hgtc.edu,Myrtle Beach area
York Technical College,Community College,South Carolina,Rock Hill,"Liberal Arts, Health, Business, Engineering Tech, Machine Tool",5000,1480,No,5520,11832,1335,37%,43%,71%,1480,Yes,(803) 327-8000,veterans@yorktech.edu,https://www.yorktech.edu,Charlotte metro area
Spartanburg Community College,Community College,South Carolina,Spartanburg,"Liberal Arts, Health, Business, Automotive, Mechatronics",5500,1550,No,5520,11832,1335,36%,42%,70%,1550,Yes,(864) 592-4600,veterans@sccsc.edu,https://www.sccsc.edu,Upstate region
Chattanooga State Community College,Community College,Tennessee,Chattanooga,"Liberal Arts, Health, Business, Engineering Tech, Veterinary",9000,2150,No,4491,17283,1209,34%,40%,69%,2150,Yes,(423) 697-4400,veterans@chattanoogastate.edu,https://www.chattanoogastate.edu,Southeast Tennessee
Nashville State Community College,Community College,Tennessee,Nashville,"Liberal Arts, Health, Business, IT, Occupational Therapy",8500,2050,No,4491,17283,1551,30%,37%,67%,2050,Yes,(615) 353-3333,veterans@nscc.edu,https://www.nscc.edu,Music City
Pellissippi State Community College,Community College,Tennessee,Knoxville,"Liberal Arts, Engineering Tech, Health, Business, IT",10000,2250,No,4491,17283,1209,36%,42%,70%,2250,Yes,(865) 694-6400,veterans@pstcc.edu,https://www.pstcc.edu,Knoxville area
Southwest Tennessee Community College,Community College,Tennessee,Memphis,"Liberal Arts, Health, Business, Engineering Tech, Hospitality",9500,2180,No,4491,17283,1209,28%,35%,65%,2180,Yes,(901) 333-5000,veterans@southwest.tn.edu,https://www.southwest.tn.edu,Memphis area
Volunteer State Community College,Community College,Tennessee,Gallatin,"Liberal Arts, Health, Business, Emergency Services, Dental",7000,1850,No,4491,17283,1551,35%,41%,69%,1850,Yes,(615) 452-8600,veterans@volstate.edu,https://www.volstate.edu,Nashville metro area
Roane State Community College,Community College,Tennessee,Harriman,"Liberal Arts, Health, Business, IT, Engineering Tech",5500,1650,No,4491,17283,1209,37%,43%,70%,1650,Yes,(865) 354-3000,veterans@roanestate.edu,https://www.roanestate.edu,East Tennessee
Louisiana Delta Community College,Community College,Louisiana,Monroe,"Liberal Arts, Health, Business, Industrial Tech, Process Tech",4000,1280,No,4074,8850,1335,26%,33%,63%,1280,Yes,(318) 345-9000,veterans@ladelta.edu,https://www.ladelta.edu,Northeast Louisiana
South Louisiana Community College,Community College,Louisiana,Lafayette,"Liberal Arts, Health, Business, Petroleum, Process Tech",6500,1680,No,4074,8850,1335,28%,35%,65%,1680,Yes,(337) 521-9000,veterans@solacc.edu,https://www.solacc.edu,Acadiana region
Delgado Community College,Community College,Louisiana,New Orleans,"Liberal Arts, Health, Business, Maritime, Culinary",15000,2450,No,4074,8850,1932,30%,37%,67%,2450,Yes,(504) 671-5000,veterans@dcc.edu,https://www.dcc.edu,Largest Louisiana CC
Bossier Parish Community College,Community College,Louisiana,Bossier City,"Liberal Arts, Health, Business, Industrial, Aviation",6000,1850,No,4074,8850,1335,32%,39%,68%,1850,Yes,(318) 678-6000,veterans@bpcc.edu,https://www.bpcc.edu,Northwest Louisiana
River Parishes Community College,Community College,Louisiana,Sorrento,"Liberal Arts, Business, Health, Process Tech, Industrial",2500,780,No,4074,8850,1665,27%,34%,64%,780,Yes,(225) 675-8270,veterans@rpcc.edu,https://www.rpcc.edu,Between Baton Rouge and NOLA
Nunez Community College,Community College,Louisiana,Chalmette,"Liberal Arts, Nursing, Business, Emergency Medical, IT",2000,680,No,4074,8850,1932,29%,36%,66%,680,Yes,(504) 278-6200,veterans@nunez.edu,https://www.nunez.edu,New Orleans metro
Central Georgia Technical College,Community College,Georgia,Macon,"Health, Business, Industrial, IT, Public Safety",8000,1980,No,3300,6000,1335,44%,50%,74%,1980,Yes,(478) 757-3400,veterans@centralgatech.edu,https://www.centralgatech.edu,Central Georgia
Gwinnett Technical College,Community College,Georgia,Lawrenceville,"Health, Business, IT, Industrial, Public Safety",7500,1850,No,3300,6000,1932,42%,48%,73%,1850,Yes,(770) 962-7580,veterans@gwinnettech.edu,https://www.gwinnettech.edu,Atlanta metro
Georgia Piedmont Technical College,Community College,Georgia,Clarkston,"Health, Business, IT, Industrial, Logistics",4500,1350,No,3300,6000,1932,38%,44%,70%,1350,Yes,(404) 297-9522,veterans@gptc.edu,https://www.gptc.edu,DeKalb County
Chattahoochee Technical College,Community College,Georgia,Marietta,"Health, Business, IT, Industrial, Aviation",11000,2250,No,3300,6000,1932,45%,51%,75%,2250,Yes,(770) 528-4545,veterans@chattahoocheetech.edu,https://www.chattahoocheetech.edu,Northwest Atlanta metro
Columbus Technical College,Community College,Georgia,Columbus,"Health, Business, IT, Industrial, Public Safety",3500,1150,No,3300,6000,1335,41%,47%,72%,1150,Yes,(706) 649-1800,veterans@columbustech.edu,https://www.columbustech.edu,Near Fort Moore
Athens Technical College,Community College,Georgia,Athens,"Health, Business, IT, Industrial, Veterinary Tech",4000,1280,No,3300,6000,1335,43%,49%,73%,1280,Yes,(706) 355-5000,veterans@athenstech.edu,https://www.athenstech.edu,Northeast Georgia
Savannah Technical College,Community College,Georgia,Savannah,"Health, Business, Industrial, Culinary, Maritime",4500,1380,No,3300,6000,1335,40%,46%,71%,1380,Yes,(912) 443-5700,veterans@savannahtech.edu,https://www.savannahtech.edu,Coastal Georgia
Wiregrass Georgia Technical College,Community College,Georgia,Valdosta,"Health, Business, IT, Industrial, Agriculture",4000,1280,No,3300,6000,1335,39%,45%,70%,1280,Yes,(229) 333-2100,veterans@wiregrass.edu,https://www.wiregrass.edu,South Georgia
Lanier Technical College,Community College,Georgia,Oakwood,"Health, Business, IT, Industrial, Agriculture",5000,1450,No,3300,6000,1335,42%,48%,72%,1450,Yes,(770) 531-6300,veterans@laniertech.edu,https://www.laniertech.edu,Northeast Georgia
West Georgia Technical College,Community College,Georgia,Waco,"Health, Business, IT, Industrial, Public Safety",7000,1780,No,3300,6000,1335,41%,47%,71%,1780,Yes,(770) 537-6000,veterans@westgatech.edu,https://www.westgatech.edu,West of Atlanta
Lone Star College,Community College,Texas,The Woodlands,"Liberal Arts, Health, Business, IT, Process Tech",90000,5200,No,2550,5100,1551,26%,33%,64%,5200,Yes,(832) 813-6500,veterans@lonestar.edu,https://www.lonestar.edu,Largest Texas CC system
San Antonio College,Community College,Texas,San Antonio,"Liberal Arts, Health, Business, Veterinary Tech, Aviation",20000,3850,No,2760,7140,1551,31%,38%,67%,3850,Yes,(210) 486-0000,veterans@alamo.edu,https://www.alamo.edu/sac,Alamo Colleges District
Palo Alto College,Community College,Texas,San Antonio,"Liberal Arts, Health, Business, Aviation, Biotechnology",9000,2950,No,2760,7140,1551,28%,35%,65%,2950,Yes,(210) 486-3000,veterans@alamo.edu,https://www.alamo.edu/pac,Alamo Colleges District
St. Philip's College,Community College,Texas,San Antonio,"Liberal Arts, Health, Business, Aviation, Culinary",12000,3150,No,2760,7140,1551,30%,37%,66%,3150,Yes,(210) 486-2000,veterans@alamo.edu,https://www.alamo.edu/spc,Alamo Colleges HBCU
Northeast Lakeview College,Community College,Texas,San Antonio,"Liberal Arts, Health, Business, IT, Hospitality",8000,2450,No,2760,7140,1551,29%,36%,65%,2450,Yes,(210) 486-5000,veterans@alamo.edu,https://www.alamo.edu/nlc,Newest Alamo College
